text,category,encode_cat
Mm-hmm. So and what would you-- What would- What would help you get to building up to it? Spending more time there.,question,0
"There's some feelings when you, kind of, think about that?",question,0
And do you mind if we talk about a screening form that you filled out earlier today on drug use?,question,0
Yeah. It doesn't fit.,reflection,2
Yeah. So--,other,3
"Hello, Rick. Welcome.",other,3
"Okay. Um, any questions or anything-",question,0
"Well, let's talk about then how you ended up cutting yourself.",other,3
"Oh, okay. So, I guests maybe five or six.",reflection,2
And there's some things that you might be able to do that would make it easier to not use methamphetamine including talking to your sister and getting some support.,reflection,2
"-that-that, um, that has to happen. Would you like some suggestions about that?",question,0
Mm. What do you think?,question,0
Mr. Johnson?,question,0
"Okay. And how about the use of other drugs like cocaine, heroin, marijuana?",question,0
"Oh, good. Oh, good. And-and so, where do you usually, um, have your drinks? Is it at home or, uh, out-out for, uh- after work, social drinking?",question,0
Nobody there too.,reflection,2
"Discouraged, yeah.",reflection,2
And then there's this other part of you that's- was thinking maybe it's not okay.,reflection,2
"Right now, though, it feels almost too difficult to even manage or even to try?",reflection,2
"100 is like, ""I'm totally interested and-and getting it nailed and sorted and, you know, getting on the straight and narrow."" Where would you be on that scale?",question,0
Very dull.,reflection,2
"So, it's become harder to be a smoker. You light up a cigarette-cigarette and people make assumptions about you.",reflection,2
"Yeah? So, what do you think, between now and next week, you can do around the forms?",question,0
"-potential enemies, friends, who knows which ones.",reflection,2
"I get it. I get it. And so, if you could fit it in, you would like things to be different, but that's not so easy.",other,3
You don't want to continue.,reflection,2
"You wanna know that it's the latest and the greatest kind of thing. Um, this is information that, uh, that I have been sharing with you earlier, this is the latest information evidence-based, um, on the latest research since 2011 and, um, a lot of research has gone into what is-what is okay for a mom to consume, like, alcohol. There's the-the evidence that we have, um, but in the end, you choose what's best for you and what's best for your baby. What are your- what are your thoughts on that?",therapist_input,1
How did you know you messed up?,question,0
"-'cause you owed your mom and dad some money, and they weren't bailing you out anymore, and you had to go out and find some money, I think?",question,0
"Hello, nice to meet you again. And, uh, and what seems to be the-the problem or what-what prompted you to come along?",question,0
"Well, some patients who inject heroin are interested in a medication called Suboxone. It reduces cravings, withdrawal symptoms without making you high. Some patients want information on how to inject drugs more safely or where to get new syringes. Other patients want to carry Naloxone which is a drug that can prevent one from overdosing.",therapist_input,1
-you really mentioned that anxiety-,reflection,2
You wouldn't boss them around?,reflection,2
You don't wanna let your baby down.,reflection,2
"Sure. Well, it's hard to me to convince you-",therapist_input,1
-and really thinking about what's got you into trouble and hence something about what gets you into trouble.,reflection,2
"All right. Well, this medication is usually well tolerated, which means that it doesn't have very many side effects, but you might experience some muscle aches or pains. If they seem really severe to you, then you should call Dr. Ferris and talk to him about that. Also, this medication can interact with over-the-counter medicines or even other medications. So before you start something new, you should check with either Dr. Ferris or myself. And lastly, this medication can interact with grapefruit juice. So while you're taking this medicine, I would avoid grapefruit juice.",therapist_input,1
"Yeah. No, but how smart on your part to know that if you would- if you would had to play with her, something bad would've happened.",reflection,2
"Excellent. Well, it sounds like you have a plan. Same scale, 0 to 10, how confident are you that you can, uh, make this happen?",question,0
"Katie, it sounds like smoking pot is helping you somewhat in helping you relax and it's also causing you a lot of stress because you're trying to use it to fit in and that's not helping, you're worried about getting caught, you're worried about family disapproval. Having said all that, what do you think you wanna do about your pot use?",reflection,2
"Just so I know we're on the same page, can you repeat back to me how you'll take this medicine?",question,0
"Okay, and so I guess, you know, what would you like to do given the circumstances?",question,0
"Yeah, you're surprised to hear that?",question,0
"You know. And so-- yeah, and that- and that does concern people. But I do want to reassure you that this is medication that only goes to her lungs, and won't get in her body and they're not the same kind of drugs as the ones you're worried about.",therapist_input,1
Can you describe why you're hesitant?,question,0
The very first time that you can remember?,question,0
"So, am I- am I right in thinking you perhaps decide on a day-to-day basis-",reflection,2
"Sure, of course, Hailey a-and again I really appreciate your openness and honesty about letting me know what's going on with, you know, the stress levels and coping and drinking. I just had a thought that there's also a good mom's group, we run out of our center. So if you'd like a referral to that or some information, I'd be happy to give you and while you think about it, if you want to, um, talk about this further with one of my colleagues, I'd be happy to make you an appointment.",therapist_input,1
"Okay. And if you need more information, we can get that for you.",therapist_input,1
A bit broad kind of like you've gotta change everything.,reflection,2
"Got it. I-I can understand that. [chuckles] Uh, any other things that you can think of?",question,0
You-you would be the corporate company.,reflection,2
"So, what brings you here, Bob? What's, what can I do to help?",question,0
"-and get it out of the way. Maybe I know in the past it's been helpful for some other clients to sit down and take a calendar and just mark out, okay, I'm gonna do five hours this day, I'm gonna do three hours this day, two hours of this day. Does that sound like something that might be helpful for you?",therapist_input,1
"So, if-if-if we could maybe find a medication that didn't give you as bad side effects, perhaps you might not have to drink as much or at all or smoke a little weed to take the edge off. I mean, who knows? [unintelligible 00:09:55]",reflection,2
"Okay, so you don't wanna end up kind of being in prison again 'cause you've done some time inside. Yeah, and you don't wanna end up going back to prison, yeah. So-so that's one thing about wanting to make a difference and the way things are at the moment, yeah.",reflection,2
Mm. Came out of the blue for you?,reflection,2
Okay. So how do you feel about being here today?,question,0
But you've done your duty. Duty is done.,reflection,2
"-or getting in fights."" You know, one thing you could bring up is, ""I've heard a lot of stories about kids who you know, are at parties and they're drunk and acting stupid, and then people post stuff on Instagram.""",therapist_input,1
-and knowing how it's gonna turn out.,reflection,2
Yeah. Is there somebody that you could call?,question,0
I'd love to hear from you. When was the time in the past that you were feeling anxious about something and you actually did it and it turned out well?,question,0
"-to work on meeting some people, so-",other,3
I think that would be a good idea. I think we've only just begun to talk about it-,therapist_input,1
"Okay, well, that's a good start, but cutting back isn't going to do it. If you actually quit the smoking, you can reverse all the damage you've done in your mouth, and you can stop yourself from- from being at risk for these other diseases. But as long as you're continuing to use these cigars you're really putting yourself in a lot of danger.",therapist_input,1
"Okay. Uh, how much do your friends drink?",question,0
They're important.,reflection,2
Oh good. You got family out here?,question,0
That's right.,other,3
Thanks.,other,3
It's quite interesting. Was that a fashion shoot or something?,question,0
"Okay. So sort of in the-the too much drinking or-or at times, can you tell me some of the less good things or not so good things about alcohol?",question,0
"I really applaud you for being open-minded enough to realize that where you are now is not necessarily where you are, that you don't have to always have it be the same.",other,3
"Mm-hmm. Yeah, so what in particular? Like, if you could have whatever you wanted, in terms of that sort of work, what would you do?",question,0
"When you think five years ahead, which-which position do you wanna be in? Which-which feels best? Party girl still, you know, with those four credit cards maxed out major, or would you wanna be actually, you know, thinking about having traveled and, you know, maybe, starting a family, those other things? Which-which direction feels best for you at this point?",question,0
"Yeah, I can understand that. Um, what are some of your natural skills?",question,0
Okay. Anything else?,question,0
That's pretty cool that you did that.,reflection,2
Any thoughts on considering quitting smoking at this time?,question,0
"Okay. So, what sort of training did you-- did these people, that you've been talking about, what did they do?",question,0
"Oh wow, it was-",other,3
Like a new beginning.,reflection,2
"Yeah. Well, maybe you can start leading as a non-drinker then.",therapist_input,1
"Okay, so we talked about sort of where things you-w-- Where you might be in five years and which path you wanna take, yep, yep? And you seemed very clear about it.",other,3
-and-and I think you mentioned done-done a little bit towards that.,reflection,2
"Okay. Well, the-the side effect is something that's very, very rare, it's not really something you need to worry about, and the risk of stroke or heart attack is much worse.",therapist_input,1
"Okay, what made you choose seven or eight as opposed to a-a five?",question,0
What are you drinking? What's the quantity that you're drinking.,question,0
"So, live, um, having that as a priority, um, do you feel as though, like you said before you'll live, but you know that you're able to look at, okay, these are my values, you know, and you're able to acknowledge [unintelligible 00:07:30] values.",reflection,2
You can't se it?,question,0
"Yeah-yeah, how important would it- would it be? Zero being not so important and 10 being pretty important that you--",question,0
"Nice to meet you, too. Thanks for coming in today.",other,3
Anything else to make things easier for you?,question,0
"Well, uh, wait a second, Sal, what do you mean you-you- ha- If you-- As in-- You know to be informed about-- I'm just really taken aback by that because I understand from your chart that you have a young baby-",reflection,2
-the expectation of life on the inside something?,question,0
"So part of that whole keeping fit and exercise stuff is actually the social side of it, isn't it?",reflection,2
"Well, it was nice talking to you.",other,3
"Okay. So, these automatic cigarettes, when you're socializing and you're-- you have time on your hands, really, are the problems that you're facing-",reflection,2
"Okay, so we [unintelligible 00:09:47] something that interests you.",reflection,2
"Okay. So a patch is something you've already seen, and-",reflection,2
You were surprised?,question,0
-guiding your baby and-,reflection,2
Not at all.,therapist_input,1
Okay. And how about unprotected sex? It sounds like you don't want to experience that again.,reflection,2
"So let me tell you what I normally do in this, um, this interview, and we-we'll talk for up to maybe 20 minutes or so. Normally what I do is just give some feedback from all of those questionnaires that you answered last week-",therapist_input,1
"Okay, you're over that one, okay. So, let's start to think about what might be the first step.",therapist_input,1
"Okay, well how important would it be for you to-to, uh, do whatever you can to reduce your risks of stroke or heart attack down the line?",question,0
Just-,other,3
Yeah. You're-you're tired. You're stressed. You feel so sad to the point that you're hurting yourself physically so that you can feel something other than what you're feeling right now.,reflection,2
"Okay. So I'm hearing you say that the situation with your mom's not ideal. You actually miss class sometime and had to lose some work shifts as well, and that's problematic.",reflection,2
Okay. So is there anything else that you like about it?,question,0
"So let me make sure that I understand all of the good things about smoking, the things that you like about it, and let me know if I've missed anything or left anything out.",reflection,2
"So it's really, I suppose, up to how things go for you, and you get that feedback. And if that's going in the right direction, you carry on doing and do some more of that.",reflection,2
"Um, and so thanks for- thanks for taking a couple of minutes and talking about smoking.",therapist_input,1
But we're also talking about this idea that it doesn't fit with what your goals are or what your hopes are?,reflection,2
So you're following through on meeting with me today and you mentioned he has some concerns. Can you tell me a little bit about that?,question,0
"Have you ever experienced a-a blackout, like when you've been drinking and you wake up and you don't remember what happened?",question,0
"So weighing what you like and don't like about your use, where do you want to go from here? What do you want to do differently?",question,0
"Yeah, okay.",other,3
"-'cause this is your life and this is your story, and you-you've got to walk your life and I can't walk your life for you. I only walk my. And so, but I can walk with you on this life to try and think about-- 'Cause I-I-- You know, I-I've no interest in actually you falling over and going back into-into a lifestyle a crime 'cause I know where it'll take you. And I'm hearing that with your relationship, where it's going to take your relationship too, [unintelligible 00:16:39] got the bottom line drawn pretty clearly.",reflection,2
"Yeah. So-so you've got this new group of friends and-and, um, you-you actually kind of like where you're at with things right now. And your mom was going through your stuff and found your stash, and it's just turned into a, you know, all of this.",reflection,2
"Right. Okay. Well, I think, Barbara, having-having heard your story, and heard about the symptoms, I'm not sure that actually sending you for more tests at this point would be the most useful thing that we could do for you. And the reason for that is because you've-you've had some of the main investigations in the last couple of years, and-and they've not shown anything. And your symptoms haven't really changed that much. So it's very unlikely that if we were to send you for more tests now that-that they'd show anything different than what we already know. So a bit-- I think it would be a waste of time for you to go for more tests.",other,3
"Mm-hmm. So on one hand, using heroin feels like an escape from things you don't want to think about. On the other hand, it puts you at risk for an overdose in infections.",reflection,2
"So I guess, tell me a bit more about what happens then. So let's focus on maybe an invitation to do a job with, uh, you know, it's going to involve, uh, photography with- with a group of people and you're going to have to have social interaction. What kind of thoughts go through your head?",question,0
"So, reading and writing is not a strong point for you.",reflection,2
Thanks for coming in for participating today. Your sanction will involve being placed on university disciplinary probation and attending an alcohol education seminar that will cost $150.,therapist_input,1
"Six months is a- is a long time. There was, um-- Try to think back, were there- were there other people? Was it- was it just you?",question,0
"Oh, hello Scott.",other,3
"Okay? So a stroke or heart attack is much worse, so make sure you go ahead and pick up your medicine as you're on your way out and, uh, one-one every day to get your cholesterol down.",therapist_input,1
They managed with it.,reflection,2
Sure we can make those arrangements with the rehab center. They have a van-,therapist_input,1
"Yeah, we-- You know, we have about 15 to 20 minutes to talk today, total. Um-um, which certainly it's just the first of-of some sessions that we'll have together over the next six months. It'd be a natural question you'd wanna know how much time this will take, of course. Um, what else would you like me to know about you and your perspective that you think will help me work with you over this time?",therapist_input,1
"Mm, so when I was first talking to you, I thought that you'd have a very, um, really not much interest in not stoping using Methamphetamine but it sounds like you have a number of reasons why you really would like to stop using Methamphetamine. And that is, um, that it might be cut with something else, um, you could get another ST- STD including HIV.",reflection,2
"So, mainly, just kinda hanging out with friends.",reflection,2
Okay. Would it be okay with you if I kind of explained again kind of what this program is about?,question,0
"Okay. So you trusted him on that, and you tried it out and you found that it helped you in certain ways. What are some of the things that you said it's-- takes some of the pain away, it's not just-- you know.",reflection,2
"I mean I'm willing to see her too, you know.",therapist_input,1
You're still feeling the effects of-,reflection,2
"-um, healing-",other,3
"Mm-hmm. Okay, so it sounds like a sort of a vicious cycle and-and maybe the lacking physical activity has made you feel less confident in yourself. I wonder if that's also a piece of this puzzle since you mentioned that's been a big difference from what was happening in the past.",reflection,2
"Okay, alright. Cause it’s tough, it's really, it is. I mean I’ve, um, I’m sure you’ve been told before by whomever, uh, diagnosed your foot injury, but if not, let me know if it gets so tough on your body [unintelligible 00:02:10] let me know. So--",other,3
"So, on the one hand I'm hearing smoking and drinking at night as a way to chill out but at the same time the next day, you're not feeling so great.",reflection,2
-with your mates?,reflection,2
"Mm-hmm. So what sort of mischief are we talking about here, Billy?",question,0
"Uh, and it would certainly help her. Um, but what I'd like you to do is to, kind of, keep an eye on what happens when she uses the chronic inhaler. And if she's still flaring up when you're around her, if there are any, if there is smoke on your clothes because it-it can flare her up.",therapist_input,1
"Zero being, ""Argh, not interested at all,"" 100 being totally into it.",therapist_input,1
"Rick, I get a sense that you're kind of padding this walk a little bit on your own at the moment. Would that be true?",reflection,2
"Oh, and yet and at the same time you know your body well enough, and you-you’re willing to pay attention to your doctor’s advice about the running, right now, for you, not the best thing. Um, so, riding a stationary bike. Um, what else do you like to do that's cardiovascular?",question,0
"-before we go, I'd like to just-just give you a lot of- some information that might help-help you.",therapist_input,1
"Yeah. So you and I are going to be doing a little bit of work together then. And, um, and sometimes it-it can get quite tough. And I'm just wondering before we go any further, when the going gets tough, a lot of guys bail out. I'm just wondering are you one of those guys?",question,0
"Mm. Okay, so your boyfriend?",question,0
Okay. And how do you feel after you drink?,question,0
Mm-hmm. That's something- that's something that's come up before with-with-- when we've been talking about that idea about not liking being bossed around.,reflection,2
-and you got--,question,0
"Okay. Okay. And have there been any times over the last four years that you've noticed any significant changes in your symptoms? For example, have there been any times when things have been better for you?",question,0
"Okay, great. Let's quantify that a little bit. So how many cigarettes would that be?",therapist_input,1
Did they not get along with your girlfriend?,question,0
"Mm-hmm. So, what would that look like for you?",question,0
And then the respect is really sort of all-encompassing.,reflection,2
"So I get the impression that there are some things that you're concerned about, but that overall, coming in here wasn't necessarily the first thing that was on your mind when you came to the hospital with your daughter. Um, so can you tell me, what was it that made it possible for you to even come in? What-what were some of the things you were thinking about?",reflection,2
Almost overwhelming it sounds like.,reflection,2
Okay. And how long has this been going on?,question,0
"Yeah, yeah, and then the blood pressure thing. Does that sound about right?",question,0
"So, tell me a little bit more about your drinking. Tell me a little bit about how much you're drinking, and, um, the pattern, and what raised concern.",question,0
And it sounds like right now you're at a place of acceptance about that also.,reflection,2
What kind of things do you forget?,question,0
